file_path,detected_name,unicode_sequence,codepoints_hex,status,method
all/Kiss Man No Skin Tone Man Medium Light Skin Tone.svg,Kiss Man No Skin Tone Man Medium Light Skin Tone,👨🏼‍❤️‍💋‍👨,1F468-1F3FC-200D-2764-FE0F-200D-1F48B-200D-1F468,mapped,special: kiss (MAN MAN)
all/Man Juggling Medium Dark Skin Tone.svg,Man Juggling Medium Dark Skin Tone,🤹🏾‍♂️,1F939-1F3FE-200D-2642-FE0F,mapped,lookup+tone+gender
all/Woman Facepalming Medium Light Skin Tone.svg,Woman Facepalming Medium Light Skin Tone,🤦🏼‍♀️,1F926-1F3FC-200D-2640-FE0F,mapped,lookup+tone+gender
all/Woman Rowing Boat Medium Dark Skin Tone.svg,Woman Rowing Boat Medium Dark Skin Tone,🚣🏾‍♀️,1F6A3-1F3FE-200D-2640-FE0F,mapped,activity-person
all/Person With Skullcap Medium Dark Skin Tone.svg,Person With Skullcap Medium Dark Skin Tone,👲🏾,1F472-1F3FE,mapped,auto-cldr-exact
all/Flag Argentina.svg,Flag Argentina,🇦🇷,1F1E6-1F1F7,mapped,flag
all/Kiss Man Medium Skin Tone Woman Medium Skin Tone.svg,Kiss Man Medium Skin Tone Woman Medium Skin Tone,👨🏽‍❤️‍💋‍👩,1F468-1F3FD-200D-2764-FE0F-200D-1F48B-200D-1F469,mapped,special: kiss (MAN WOMAN)
all/Kiss Woman Man Dark Skin Tone Light Skin Tone.svg,Kiss Woman Man Dark Skin Tone Light Skin Tone,👩🏿‍❤️‍💋‍👨🏻,1F469-1F3FF-200D-2764-FE0F-200D-1F48B-200D-1F468-1F3FB,mapped,special: kiss (WOMAN MAN)|fq-correction
all/Panda.svg,Panda,🐼,1F43C,mapped,auto-cldr-exact
all/Flag Monaco.svg,Flag Monaco,🇲🇨,1F1F2-1F1E8,mapped,flag
all/Kiss Person Woman Medium Dark Skin Tone Light Skin Tone.svg,Kiss Person Woman Medium Dark Skin Tone Light Skin Tone,🧑🏾‍❤️‍💋‍👩🏻,1F9D1-1F3FE-200D-2764-FE0F-200D-1F48B-200D-1F469-1F3FB,mapped,special: kiss (PERSON WOMAN)
all/Woman Climbing.svg,Woman Climbing,🧗‍♀️,1F9D7-200D-2640-FE0F,mapped,translation-pass
all/Man Gesturing No Dark Skin Tone.svg,Man Gesturing No Dark Skin Tone,🙅🏿‍♂️,1F645-1F3FF-200D-2642-FE0F,mapped,auto-cldr-exact
all/Women Holding Hands Medium Light Skin Tone Light Skin Tone.svg,Women Holding Hands Medium Light Skin Tone Light Skin Tone,👩🏼‍🤝‍👩🏻,1F469-1F3FC-200D-1F91D-200D-1F469-1F3FB,mapped,translation-pass
all/Farmer Dark Skin Tone.svg,Farmer Dark Skin Tone,🧑🏿‍🌾,1F9D1-1F3FF-200D-1F33E,mapped,profession|fq-correction
all/Man Playing Handball Medium Light Skin Tone.svg,Man Playing Handball Medium Light Skin Tone,🤾🏼‍♂️,1F93E-1F3FC-200D-2642-FE0F,mapped,activity-person
all/Kiss Woman Woman Medium Light Skin Tone Medium Dark Skin Tone.svg,Kiss Woman Woman Medium Light Skin Tone Medium Dark Skin Tone,👩🏼‍❤️‍💋‍👩🏾,1F469-1F3FC-200D-2764-FE0F-200D-1F48B-200D-1F469-1F3FE,mapped,lookup+tone+gender|fq-correction
all/Right Facing Fist Light Skin Tone.svg,Right Facing Fist Light Skin Tone,🤜🏻,1F91C-1F3FB,mapped,gesture
all/Prince Light Skin Tone.svg,Prince Light Skin Tone,🤴🏻,1F934-1F3FB,mapped,lookup+tone
all/Folded Hands Medium Skin Tone.svg,Folded Hands Medium Skin Tone,🙏🏽,1F64F-1F3FD,mapped,auto-cldr-exact
all/Man Factory Worker Dark Skin Tone.svg,Man Factory Worker Dark Skin Tone,👨🏿‍🏭,1F468-1F3FF-200D-1F3ED,mapped,translation-pass
all/Woman Getting Haircut Medium Light Skin Tone.svg,Woman Getting Haircut Medium Light Skin Tone,💇🏼‍♀️,1F487-1F3FC-200D-2640-FE0F,mapped,auto-cldr-exact
all/Flag British Indian Ocean Territory.svg,Flag British Indian Ocean Territory,🇮🇴,1F1EE-1F1F4,mapped,flag
all/Closed Umbrella.svg,Closed Umbrella,🌂,1F302,mapped,lookup
all/Waxing Gibbous Moon.svg,Waxing Gibbous Moon,🌔,1F314,mapped,alias2
all/Kiss Man Man Medium Dark Skin Tone Medium Light Skin Tone.svg,Kiss Man Man Medium Dark Skin Tone Medium Light Skin Tone,👨🏾‍❤️‍💋‍👨🏼,1F468-1F3FE-200D-2764-FE0F-200D-1F48B-200D-1F468-1F3FC,mapped,lookup+tone+gender|fq-correction
all/People Holding Hands Medium Light Skin Tone.svg,People Holding Hands Medium Light Skin Tone,🧑🏼‍🤝‍🧑🏼,1F9D1-1F3FC-200D-1F91D-200D-1F9D1-1F3FC,mapped,translation-pass|fq-correction
all/Flag Turkey.svg,Flag Turkey,🇹🇷,1F1F9-1F1F7,mapped,flag
all/Detective Dark Skin Tone.svg,Detective Dark Skin Tone,🕵🏿,1F575-1F3FF,mapped,auto-cldr-exact
all/Frowning Face.svg,Frowning Face,☹️,2639-FE0F,mapped,auto-cldr-exact
all/Railway Track.svg,Railway Track,🛤️,1F6E4-FE0F,mapped,lookup|fq-correction
all/Health Worker Medium Skin Tone.svg,Health Worker Medium Skin Tone,🧑🏽‍⚕️,1F9D1-1F3FD-200D-2695-FE0F,mapped,translation-pass
all/Old Man Dark Skin Tone.svg,Old Man Dark Skin Tone,👴🏿,1F474-1F3FF,mapped,auto-cldr-exact
all/Tangerine.svg,Tangerine,🍊,1F34A,mapped,lookup
all/Men Holding Hands Medium Dark Skin Tone Dark Skin Tone.svg,Men Holding Hands Medium Dark Skin Tone Dark Skin Tone,👨🏾‍🤝‍👨🏿,1F468-1F3FE-200D-1F91D-200D-1F468-1F3FF,mapped,translation-pass
all/Backhand Index Pointing Up.svg,Backhand Index Pointing Up,👆,1F446,mapped,gesture|fq-correction
all/People Holding Hands Dark Skin Tone Medium Skin Tone.svg,People Holding Hands Dark Skin Tone Medium Skin Tone,🧑🏿‍🤝‍🧑🏽,1F9D1-1F3FF-200D-1F91D-200D-1F9D1-1F3FD,mapped,translation-pass|fq-correction
all/Man Police Officer.svg,Man Police Officer,👮‍♂️,1F46E-200D-2642-FE0F,mapped,lookup++gender
all/Moon Viewing Ceremony.svg,Moon Viewing Ceremony,🎑,1F391,mapped,lookup
all/Mrs Claus.svg,Mrs Claus,🤶,1F936,mapped,auto-cldr-exact
all/Cook Dark Skin Tone.svg,Cook Dark Skin Tone,🧑🏿‍🍳,1F9D1-1F3FF-200D-1F373,mapped,translation-pass
all/Deaf Man.svg,Deaf Man,🧏‍♂️,1F9CF-200D-2642-FE0F,mapped,auto-cldr-exact
all/Gorilla.svg,Gorilla,🦍,1F98D,mapped,lookup
all/Man In Lotus Position Medium Skin Tone.svg,Man In Lotus Position Medium Skin Tone,🧘🏽‍♂️,1F9D8-1F3FD-200D-2642-FE0F,mapped,activity-person
all/Thumbs Down Medium Skin Tone.svg,Thumbs Down Medium Skin Tone,👎🏽,1F44E-1F3FD,mapped,gesture
all/Dotted Six Pointed Star.svg,Dotted Six Pointed Star,🔯,1F52F,mapped,auto-cldr-exact
all/Person Lifting Weights Medium Light Skin Tone.svg,Person Lifting Weights Medium Light Skin Tone,🏋🏼,1F3CB-1F3FC,mapped,activity-person
all/Oncoming Fist Light Skin Tone.svg,Oncoming Fist Light Skin Tone,👊🏻,1F44A-1F3FB,mapped,gesture
all/Couple With Heart Person Man No Skin Tone Medium Dark Skin Tone.svg,Couple With Heart Person Man No Skin Tone Medium Dark Skin Tone,🧑🏾‍❤️‍👨,1F9D1-1F3FE-200D-2764-FE0F-200D-1F468,mapped,special: couple-with-heart (PERSON MAN)
all/Man Police Officer Light Skin Tone.svg,Man Police Officer Light Skin Tone,👮🏻‍♂️,1F46E-1F3FB-200D-2642-FE0F,mapped,lookup+tone+gender
all/Person.svg,Person,🧑,1F9D1,mapped,auto-cldr-exact
all/Onion.svg,Onion,🧅,1F9C5,mapped,lookup
all/American Football.svg,American Football,🏈,1F3C8,mapped,lookup
all/Girl.svg,Girl,👧,1F467,mapped,lookup
all/Left Arrow.svg,Left Arrow,⬅️,2B05-FE0F,mapped,arrows-shapes-transport|fq-correction
all/Clinking Glasses.svg,Clinking Glasses,🥂,1F942,mapped,lookup
all/Woman Golfing Light Skin Tone.svg,Woman Golfing Light Skin Tone,🏌🏻‍♀️,1F3CC-1F3FB-200D-2640-FE0F,mapped,activity-person
all/Man Technologist Medium Light Skin Tone.svg,Man Technologist Medium Light Skin Tone,👨🏼‍💻,1F468-1F3FC-200D-1F4BB,mapped,translation-pass
all/Woman In Motorized Wheelchair.svg,Woman In Motorized Wheelchair,👩‍🦼,1F469-200D-1F9BC,mapped,auto-cldr-exact
all/Input Latin Lowercase.svg,Input Latin Lowercase,🔡,1F521,mapped,auto-cldr-exact
all/Person Climbing Medium Light Skin Tone.svg,Person Climbing Medium Light Skin Tone,🧗🏼,1F9D7-1F3FC,mapped,translation-pass
all/Japanese Acceptable Button.svg,Japanese Acceptable Button,🉑,1F251,mapped,auto-cldr-exact
all/Five Thirty.svg,Five Thirty,🕠,1F560,mapped,numbers
all/Person Lifting Weights Dark Skin Tone.svg,Person Lifting Weights Dark Skin Tone,🏋🏿,1F3CB-1F3FF,mapped,activity-person
all/Men Holding Hands Medium Dark Skin Tone Medium Light Skin Tone.svg,Men Holding Hands Medium Dark Skin Tone Medium Light Skin Tone,👨🏾‍🤝‍👨🏼,1F468-1F3FE-200D-1F91D-200D-1F468-1F3FC,mapped,translation-pass|fq-correction
all/Copyright.svg,Copyright,©️,00A9-FE0F,mapped,auto-cldr-exact
all/Mango.svg,Mango,🥭,1F96D,mapped,lookup
all/Man Detective.svg,Man Detective,🕵️‍♂️,1F575-FE0F-200D-2642-FE0F,mapped,auto-cldr-exact
all/Couple With Heart Person Man Medium Light Skin Tone Dark Skin Tone.svg,Couple With Heart Person Man Medium Light Skin Tone Dark Skin Tone,🧑🏼‍❤️‍👨🏿,1F9D1-1F3FC-200D-2764-FE0F-200D-1F468-1F3FF,mapped,special: couple-with-heart (PERSON MAN)
all/Couple With Heart Person Man Light Skin Tone Dark Skin Tone.svg,Couple With Heart Person Man Light Skin Tone Dark Skin Tone,🧑🏻‍❤️‍👨🏿,1F9D1-1F3FB-200D-2764-FE0F-200D-1F468-1F3FF,mapped,special: couple-with-heart (PERSON MAN)
all/Map Of Japan.svg,Map Of Japan,🗾,1F5FE,mapped,auto-cldr-exact
all/Shark.svg,Shark,🦈,1F988,mapped,lookup
all/Umbrella With Rain Drops.svg,Umbrella With Rain Drops,☔,2614,mapped,lookup
all/Elf Medium Light Skin Tone.svg,Elf Medium Light Skin Tone,🧝🏼,1F9DD-1F3FC,mapped,lookup+tone
all/Automobile.svg,Automobile,🚗,1F697,mapped,lookup
all/Hole.svg,Hole,🕳️,1F573-FE0F,mapped,lookup|fq-correction
all/Man Tipping Hand Medium Skin Tone.svg,Man Tipping Hand Medium Skin Tone,💁🏽‍♂️,1F481-1F3FD-200D-2642-FE0F,mapped,auto-cldr-exact
all/Ng Button.svg,Ng Button,🆖,1F196,mapped,2-3-4
all/Man Detective Medium Dark Skin Tone.svg,Man Detective Medium Dark Skin Tone,🕵🏾‍♂️,1F575-1F3FE-200D-2642-FE0F,mapped,auto-cldr-exact
all/Woman Medium Light Skin Tone Red Hair.svg,Woman Medium Light Skin Tone Red Hair,👩🏼‍🦰,1F469-1F3FC-200D-1F9B0,mapped,hair-attr|fq-correction
all/Waning Gibbous Moon.svg,Waning Gibbous Moon,🌖,1F316,mapped,alias2
all/Woman Medium Light Skin Tone Bald.svg,Woman Medium Light Skin Tone Bald,👩🏼‍🦲,1F469-1F3FC-200D-1F9B2,mapped,hair-attr|fq-correction
all/Kiss Person Man Light Skin Tone.svg,Kiss Person Man Light Skin Tone,🧑🏻‍❤️‍💋‍👨,1F9D1-1F3FB-200D-2764-FE0F-200D-1F48B-200D-1F468,mapped,special: kiss (PERSON MAN)
all/Couple With Heart Person Woman Light Skin Tone Medium Skin Tone.svg,Couple With Heart Person Woman Light Skin Tone Medium Skin Tone,🧑🏽‍❤️‍👩🏻,1F9D1-1F3FD-200D-2764-FE0F-200D-1F469-1F3FB,mapped,special: couple-with-heart (PERSON WOMAN)
all/Kiss Man Person Medium Light Skin Tone Dark Skin Tone.svg,Kiss Man Person Medium Light Skin Tone Dark Skin Tone,👨🏼‍❤️‍💋‍🧑🏿,1F468-1F3FC-200D-2764-FE0F-200D-1F48B-200D-1F9D1-1F3FF,mapped,special: kiss (MAN PERSON)
all/Euro Banknote.svg,Euro Banknote,💶,1F4B6,mapped,alias
all/Handbag.svg,Handbag,👜,1F45C,mapped,lookup
all/Mermaid.svg,Mermaid,🧜‍♀️,1F9DC-200D-2640-FE0F,mapped,auto-cldr-exact
all/Kiss Person Person Medium Dark Skin Tone Light Skin Tone.svg,Kiss Person Person Medium Dark Skin Tone Light Skin Tone,🧑🏾‍❤️‍💋‍🧑🏻,1F9D1-1F3FE-200D-2764-FE0F-200D-1F48B-200D-1F9D1-1F3FB,mapped,lookup+tone|fq-correction
all/Counterclockwise Arrows Button.svg,Counterclockwise Arrows Button,🔄,1F504,mapped,auto-cldr-exact
all/Woman Golfing Medium Skin Tone.svg,Woman Golfing Medium Skin Tone,🏌🏽‍♀️,1F3CC-1F3FD-200D-2640-FE0F,mapped,activity-person
all/Construction Worker Medium Skin Tone.svg,Construction Worker Medium Skin Tone,👷🏽,1F477-1F3FD,mapped,lookup+tone
all/Man Detective Medium Light Skin Tone.svg,Man Detective Medium Light Skin Tone,🕵🏼‍♂️,1F575-1F3FC-200D-2642-FE0F,mapped,auto-cldr-exact
all/Couple With Heart Woman Man Dark Skin Tone Medium Dark Skin Tone.svg,Couple With Heart Woman Man Dark Skin Tone Medium Dark Skin Tone,👩🏿‍❤️‍👨🏾,1F469-1F3FF-200D-2764-FE0F-200D-1F468-1F3FE,mapped,special: couple-with-heart (WOMAN MAN)|fq-correction
all/Flag Armenia.svg,Flag Armenia,🇦🇲,1F1E6-1F1F2,mapped,flag
all/Person Bowing Dark Skin Tone.svg,Person Bowing Dark Skin Tone,🙇🏿,1F647-1F3FF,mapped,auto-cldr-exact
all/Man Pouting Medium Skin Tone.svg,Man Pouting Medium Skin Tone,🙎🏽‍♂️,1F64E-1F3FD-200D-2642-FE0F,mapped,auto-cldr-exact
all/Woman Elf Medium Dark Skin Tone.svg,Woman Elf Medium Dark Skin Tone,🧝🏾‍♀️,1F9DD-1F3FE-200D-2640-FE0F,mapped,lookup+tone+gender
all/Pilot Medium Skin Tone.svg,Pilot Medium Skin Tone,🧑🏽‍✈️,1F9D1-1F3FD-200D-2708-FE0F,mapped,profession
all/Person Medium Skin Tone.svg,Person Medium Skin Tone,🧑🏽,1F9D1-1F3FD,mapped,auto-cldr-exact
all/Couple With Heart Man Man Medium Skin Tone Light Skin Tone.svg,Couple With Heart Man Man Medium Skin Tone Light Skin Tone,👨🏽‍❤️‍👨🏻,1F468-1F3FD-200D-2764-FE0F-200D-1F468-1F3FB,mapped,lookup+tone+gender|fq-correction
all/Office Building.svg,Office Building,🏢,1F3E2,mapped,lookup
all/Speaker Low Volume.svg,Speaker Low Volume,🔈,1F508,mapped,auto-cldr-exact
all/Twelve Thirty.svg,Twelve Thirty,🕧,1F567,mapped,numbers
all/Television.svg,Television,📺,1F4FA,mapped,lookup
all/Palm Tree.svg,Palm Tree,🌴,1F334,mapped,lookup
all/Bullet Train.svg,Bullet Train,🚅,1F685,mapped,arrows-shapes-transport|fq-correction
all/Fairy Medium Skin Tone.svg,Fairy Medium Skin Tone,🧚🏽,1F9DA-1F3FD,mapped,lookup+tone
all/Woman Medium Skin Tone Blond Hair.svg,Woman Medium Skin Tone Blond Hair,👱🏽‍♀️,1F471-1F3FD-200D-2640-FE0F,mapped,auto-cldr-exact
all/Crayon.svg,Crayon,🖍️,1F58D-FE0F,mapped,auto-cldr-exact
all/Couple With Heart Person Woman Medium Light Skin Tone Light Skin Tone.svg,Couple With Heart Person Woman Medium Light Skin Tone Light Skin Tone,🧑🏼‍❤️‍👩🏻,1F9D1-1F3FC-200D-2764-FE0F-200D-1F469-1F3FB,mapped,special: couple-with-heart (PERSON WOMAN)
all/Black Flag.svg,Black Flag,🏴,1F3F4,mapped,lookup|fq-correction
all/Light Skin Tone.svg,Light Skin Tone,,,excluded,emoji_component_excluded
all/Kiss Man Medium Dark Skin Tone Woman Light Skin Tone.svg,Kiss Man Medium Dark Skin Tone Woman Light Skin Tone,👨🏾‍❤️‍💋‍👩🏻,1F468-1F3FE-200D-2764-FE0F-200D-1F48B-200D-1F469-1F3FB,mapped,special: kiss (MAN WOMAN)
all/Record Button.svg,Record Button,⏺️,23FA-FE0F,mapped,auto-cldr-exact
all/Keycap Digit Four.svg,Keycap Digit Four,4️⃣,0034-FE0F-20E3,mapped,lookup
all/Man Construction Worker.svg,Man Construction Worker,👷‍♂️,1F477-200D-2642-FE0F,mapped,lookup++gender
all/Fairy.svg,Fairy,🧚,1F9DA,mapped,lookup
all/Cow.svg,Cow,🐄,1F404,mapped,lookup
all/Cow Face.svg,Cow Face,🐮,1F42E,mapped,lookup
all/Flag St Vincent Grenadines.svg,Flag St Vincent Grenadines,🇻🇨,1F1FB-1F1E8,mapped,flag
all/Flag Liechtenstein.svg,Flag Liechtenstein,🇱🇮,1F1F1-1F1EE,mapped,flag
all/Face With Spiral Eyes.svg,Face With Spiral Eyes,😵‍💫,1F635-200D-1F4AB,mapped,auto-cldr-exact
all/No Bicycles.svg,No Bicycles,🚳,1F6B3,mapped,lookup
all/Curling Stone.svg,Curling Stone,🥌,1F94C,mapped,lookup
all/Womans Boot.svg,Womans Boot,👢,1F462,mapped,auto-cldr-fuzzy
all/Family.svg,Family,👪,1F46A,mapped,lookup
all/Flag Barbados.svg,Flag Barbados,🇧🇧,1F1E7-1F1E7,mapped,flag
all/Woman Tipping Hand Dark Skin Tone.svg,Woman Tipping Hand Dark Skin Tone,💁🏿‍♀️,1F481-1F3FF-200D-2640-FE0F,mapped,auto-cldr-exact
all/Monkey Face.svg,Monkey Face,🐵,1F435,mapped,lookup
all/Woman Bald.svg,Woman Bald,👩‍🦲,1F469-200D-1F9B2,mapped,hair-attr
all/Backhand Index Pointing Right Medium Skin Tone.svg,Backhand Index Pointing Right Medium Skin Tone,👉🏽,1F449-1F3FD,mapped,gesture
all/Transgender Symbol.svg,Transgender Symbol,⚧️,26A7-FE0F,mapped,auto-cldr-exact
all/Kiss Man Person Medium Dark Skin Tone No Skin Tone.svg,Kiss Man Person Medium Dark Skin Tone No Skin Tone,👨🏾‍❤️‍💋‍🧑,1F468-1F3FE-200D-2764-FE0F-200D-1F48B-200D-1F9D1,mapped,special: kiss (MAN PERSON)
all/Man Getting Massage.svg,Man Getting Massage,💆‍♂️,1F486-200D-2642-FE0F,mapped,auto-cldr-exact
all/Woman And Man Holding Hands Dark Skin Tone Light Skin Tone.svg,Woman And Man Holding Hands Dark Skin Tone Light Skin Tone,👩🏿‍🤝‍👨🏻,1F469-1F3FF-200D-1F91D-200D-1F468-1F3FB,mapped,translation-pass|fq-correction
all/Woman Astronaut Dark Skin Tone.svg,Woman Astronaut Dark Skin Tone,👩🏿‍🚀,1F469-1F3FF-200D-1F680,mapped,profession|fq-correction
all/Man Elf Medium Dark Skin Tone.svg,Man Elf Medium Dark Skin Tone,🧝🏾‍♂️,1F9DD-1F3FE-200D-2642-FE0F,mapped,lookup+tone+gender
all/Woman Getting Massage Medium Dark Skin Tone.svg,Woman Getting Massage Medium Dark Skin Tone,💆🏾‍♀️,1F486-1F3FE-200D-2640-FE0F,mapped,auto-cldr-exact
all/Woman And Man Holding Hands Light Skin Tone Medium Dark Skin.svg,Woman And Man Holding Hands Light Skin Tone Medium Dark Skin,👩🏻‍🤝‍👨,1F469-1F3FB-200D-1F91D-200D-1F468,mapped,translation-pass
all/Old Man Medium Light Skin Tone.svg,Old Man Medium Light Skin Tone,👴🏼,1F474-1F3FC,mapped,auto-cldr-exact
all/Tram Car.svg,Tram Car,🚋,1F68B,mapped,lookup
all/Person In Motorized Wheelchair Medium Dark Skin Tone.svg,Person In Motorized Wheelchair Medium Dark Skin Tone,🧑🏾‍🦼,1F9D1-1F3FE-200D-1F9BC,mapped,auto-cldr-exact
all/Large Orange Diamond.svg,Large Orange Diamond,🔶,1F536,mapped,lookup
all/Thinking Face.svg,Thinking Face,🤔,1F914,mapped,lookup
all/Lobster.svg,Lobster,🦞,1F99E,mapped,lookup
all/Woman And Man Holding Hands Medium Dark Skin Tone.svg,Woman And Man Holding Hands Medium Dark Skin Tone,👫🏾,1F46B-1F3FE,mapped,translation-pass|fq-correction
all/Woman Playing Handball Medium Skin Tone.svg,Woman Playing Handball Medium Skin Tone,🤾🏽‍♀️,1F93E-1F3FD-200D-2640-FE0F,mapped,activity-person
all/Woman Supervillain Light Skin Tone.svg,Woman Supervillain Light Skin Tone,🦹🏻‍♀️,1F9B9-1F3FB-200D-2640-FE0F,mapped,lookup+tone+gender
all/Sponge.svg,Sponge,🧽,1F9FD,mapped,lookup
all/Backpack.svg,Backpack,🎒,1F392,mapped,auto-cldr-exact
all/Man Construction Worker Light Skin Tone.svg,Man Construction Worker Light Skin Tone,👷🏻‍♂️,1F477-1F3FB-200D-2642-FE0F,mapped,lookup+tone+gender
all/Woman Raising Hand.svg,Woman Raising Hand,🙋‍♀️,1F64B-200D-2640-FE0F,mapped,auto-cldr-exact
all/Singer Medium Light Skin Tone.svg,Singer Medium Light Skin Tone,🧑🏼‍🎤,1F9D1-1F3FC-200D-1F3A4,mapped,profession|fq-correction
all/Kiss Woman Light Skin Tone Woman No Skin Tone.svg,Kiss Woman Light Skin Tone Woman No Skin Tone,👩🏻‍❤️‍💋‍👩,1F469-1F3FB-200D-2764-FE0F-200D-1F48B-200D-1F469,mapped,special: kiss (WOMAN WOMAN)
all/Kiss Person Woman Medium Light Skin Tone.svg,Kiss Person Woman Medium Light Skin Tone,🧑🏼‍❤️‍💋‍👩,1F9D1-1F3FC-200D-2764-FE0F-200D-1F48B-200D-1F469,mapped,special: kiss (PERSON WOMAN)
all/Person Light Skin Tone Bald.svg,Person Light Skin Tone Bald,🧑🏻‍🦲,1F9D1-1F3FB-200D-1F9B2,mapped,hair-attr
all/Flag Greenland.svg,Flag Greenland,🇬🇱,1F1EC-1F1F1,mapped,flag
all/Person Bald.svg,Person Bald,🧑‍🦲,1F9D1-200D-1F9B2,mapped,hair-attr
all/Family Man Man Girl Girl.svg,Family Man Man Girl Girl,👨‍👨‍👧‍👧,1F468-200D-1F468-200D-1F467-200D-1F467,mapped,special: family (MAN MAN GIRL GIRL)
all/Pregnant Woman Medium Light Skin Tone.svg,Pregnant Woman Medium Light Skin Tone,🤰🏼,1F930-1F3FC,mapped,auto-cldr-exact
all/Couple With Heart Man Dark Skin Tone Woman Medium Light Skin Tone.svg,Couple With Heart Man Dark Skin Tone Woman Medium Light Skin Tone,👨🏼‍❤️‍👩🏿,1F468-1F3FC-200D-2764-FE0F-200D-1F469-1F3FF,mapped,special: couple-with-heart (MAN WOMAN)
all/Man Bouncing Ball Light Skin Tone.svg,Man Bouncing Ball Light Skin Tone,⛹🏻‍♂️,26F9-1F3FB-200D-2642-FE0F,mapped,activity-person
all/Sneezing Face.svg,Sneezing Face,🤧,1F927,mapped,lookup
all/Triangular Ruler.svg,Triangular Ruler,📐,1F4D0,mapped,lookup
all/Prince Medium Dark Skin Tone.svg,Prince Medium Dark Skin Tone,🤴🏾,1F934-1F3FE,mapped,lookup+tone
all/Child Dark Skin Tone.svg,Child Dark Skin Tone,🧒🏿,1F9D2-1F3FF,mapped,lookup+tone
all/Merman Medium Skin Tone.svg,Merman Medium Skin Tone,🧜🏽‍♂️,1F9DC-1F3FD-200D-2642-FE0F,mapped,auto-cldr-exact
all/Bird.svg,Bird,🐦,1F426,mapped,lookup
all/Artist Medium Skin Tone.svg,Artist Medium Skin Tone,🧑🏽‍🎨,1F9D1-1F3FD-200D-1F3A8,mapped,profession|fq-correction
all/Flag Tonga.svg,Flag Tonga,🇹🇴,1F1F9-1F1F4,mapped,flag
all/Person Dark Skin Tone Curly Hair.svg,Person Dark Skin Tone Curly Hair,🧑🏿‍🦱,1F9D1-1F3FF-200D-1F9B1,mapped,hair-attr
all/Man Getting Massage Medium Skin Tone.svg,Man Getting Massage Medium Skin Tone,💆🏽‍♂️,1F486-1F3FD-200D-2642-FE0F,mapped,auto-cldr-exact
all/Person In Lotus Position Dark Skin Tone.svg,Person In Lotus Position Dark Skin Tone,🧘🏿,1F9D8-1F3FF,mapped,activity-person
all/Man Vampire Light Skin Tone.svg,Man Vampire Light Skin Tone,🧛🏻‍♂️,1F9DB-1F3FB-200D-2642-FE0F,mapped,lookup+tone+gender
all/Kiss Man Dark Skin Tone Woman Light Skin Tone.svg,Kiss Man Dark Skin Tone Woman Light Skin Tone,👨🏻‍❤️‍💋‍👩🏿,1F468-1F3FB-200D-2764-FE0F-200D-1F48B-200D-1F469-1F3FF,mapped,special: kiss (MAN WOMAN)
all/People Hugging.svg,People Hugging,🫂,1FAC2,mapped,lookup
all/Woman Climbing Medium Light Skin Tone.svg,Woman Climbing Medium Light Skin Tone,🧗🏼‍♀️,1F9D7-1F3FC-200D-2640-FE0F,mapped,translation-pass
all/Last Quarter Moon Face.svg,Last Quarter Moon Face,🌜,1F31C,mapped,auto-cldr-exact
all/Flag In Hole.svg,Flag In Hole,⛳,26F3,mapped,lookup
all/Man Vampire Medium Light Skin Tone.svg,Man Vampire Medium Light Skin Tone,🧛🏼‍♂️,1F9DB-1F3FC-200D-2642-FE0F,mapped,lookup+tone+gender
all/Woman Blond Hair.svg,Woman Blond Hair,👱‍♀️,1F471-200D-2640-FE0F,mapped,auto-cldr-exact
all/Merman.svg,Merman,🧜‍♂️,1F9DC-200D-2642-FE0F,mapped,auto-cldr-exact
all/Pilot Medium Dark Skin Tone.svg,Pilot Medium Dark Skin Tone,🧑🏾‍✈️,1F9D1-1F3FE-200D-2708-FE0F,mapped,profession
all/Couple With Heart Man No Skin Tone Woman Dark Skin Tone.svg,Couple With Heart Man No Skin Tone Woman Dark Skin Tone,👨🏿‍❤️‍👩,1F468-1F3FF-200D-2764-FE0F-200D-1F469,mapped,special: couple-with-heart (MAN WOMAN)
all/Keycap Digit Zero.svg,Keycap Digit Zero,0️⃣,0030-FE0F-20E3,mapped,lookup
all/Mammoth.svg,Mammoth,🦣,1F9A3,mapped,lookup
all/Badminton.svg,Badminton,🏸,1F3F8,mapped,auto-cldr-exact
all/Woman Teacher Dark Skin Tone.svg,Woman Teacher Dark Skin Tone,👩🏿‍🏫,1F469-1F3FF-200D-1F3EB,mapped,profession|fq-correction
all/Eye In Speech Bubble.svg,Eye In Speech Bubble,👁️‍🗨️,1F441-FE0F-200D-1F5E8-FE0F,mapped,eye
all/Open Hands.svg,Open Hands,👐,1F450,mapped,gesture
all/Couple With Heart Man Medium Skin Tone Woman No Skin Tone.svg,Couple With Heart Man Medium Skin Tone Woman No Skin Tone,👨🏽‍❤️‍👩,1F468-1F3FD-200D-2764-FE0F-200D-1F469,mapped,special: couple-with-heart (MAN WOMAN)
all/Mermaid Light Skin Tone.svg,Mermaid Light Skin Tone,🧜🏻‍♀️,1F9DC-1F3FB-200D-2640-FE0F,mapped,auto-cldr-exact
all/Man Factory Worker Medium Skin Tone.svg,Man Factory Worker Medium Skin Tone,👨🏽‍🏭,1F468-1F3FD-200D-1F3ED,mapped,translation-pass
all/3rd Place Medal.svg,3rd Place Medal,🥉,1F949,mapped,auto-cldr-exact
