file_path,detected_name,unicode_sequence,codepoints_hex,status,method
all/Person Surfing Medium Light Skin Tone.svg,Person Surfing Medium Light Skin Tone,🏄🏼,1F3C4-1F3FC,mapped,activity-person
all/Person With White Cane.svg,Person With White Cane,🧑‍🦯,1F9D1-200D-1F9AF,mapped,auto-cldr-exact
all/Flag Brazil.svg,Flag Brazil,🇧🇷,1F1E7-1F1F7,mapped,flag
all/Selfie Light Skin Tone.svg,Selfie Light Skin Tone,🤳🏻,1F933-1F3FB,mapped,lookup+tone
all/Man Pilot Dark Skin Tone.svg,Man Pilot Dark Skin Tone,👨🏿‍✈️,1F468-1F3FF-200D-2708-FE0F,mapped,profession
all/Man Astronaut Dark Skin Tone.svg,Man Astronaut Dark Skin Tone,👨🏿‍🚀,1F468-1F3FF-200D-1F680,mapped,profession|fq-correction
all/Currency Exchange.svg,Currency Exchange,💱,1F4B1,mapped,lookup
all/Flag Lesotho.svg,Flag Lesotho,🇱🇸,1F1F1-1F1F8,mapped,flag
all/Couple With Heart Man Person Medium Dark Skin Tone Light Skin Tone.svg,Couple With Heart Man Person Medium Dark Skin Tone Light Skin Tone,👨🏾‍❤️‍🧑🏻,1F468-1F3FE-200D-2764-FE0F-200D-1F9D1-1F3FB,mapped,special: couple-with-heart (MAN PERSON)
all/Woman Pilot Dark Skin Tone.svg,Woman Pilot Dark Skin Tone,👩🏿‍✈️,1F469-1F3FF-200D-2708-FE0F,mapped,profession
all/Party Popper.svg,Party Popper,🎉,1F389,mapped,lookup
all/Kissing Face With Closed Eyes.svg,Kissing Face With Closed Eyes,😚,1F61A,mapped,lookup
all/Violin.svg,Violin,🎻,1F3BB,mapped,lookup
all/Curry Rice.svg,Curry Rice,🍛,1F35B,mapped,auto-cldr-exact
all/Up Right Arrow.svg,Up Right Arrow,↗️,2197-FE0F,mapped,arrows-shapes-transport|fq-correction
