block_number,block_time,tx_hash,labelhash_hex,minter,tokenid_normalized
3745840.0,2017-05-21 23:08:31.000 UTC,0xa066d06109778b734993f305b67c37f3926e30eca05e4e235905bf529e6bf4a3,13EA28B63D6D581EDA933E547494A62B10B73DA44DE3A798296457EFA6E7C1CE,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,13ea28b63d6d581eda933e547494a62b10b73da44de3a798296457efa6e7c1ce
3755752.0,2017-05-23 18:56:39.000 UTC,0x77cad446dfee41c9c898f2b9e9495b8f6b14f49738b892ad4083fb74a40bd2b3,002CF987B1721BDACA37E3A3852BA23D8A469E7C193CA4FB79C889D065324BE6,0x85b321ed7925936bcf3b1fb3212f34e42382d288,002cf987b1721bdaca37e3a3852ba23d8a469e7c193ca4fb79c889d065324be6
3799792.0,2017-05-31 19:37:18.000 UTC,0x7d43a76786d4376dbda7562aa267d6ae21a8fc14d2897e675902081139bc88cf,47B8D0A386A2A157E0C1980E54DC0F84C6B29935E27347F96E1BEEBFE70F5D24,0x0f1f5005dfead86f482447855da48d5451eb02ee,47b8d0a386a2a157e0c1980e54dc0f84c6b29935e27347f96e1beebfe70f5d24
3862670.0,2017-06-12 20:34:09.000 UTC,0x671d518e7c81629213c15168e064a4f4fbcb5b37241e6996661a529aa0d6c959,4BB3A36CF66272B28E8B2565302A49E274D0C2845AD91F91ECE0A3C29E148256,0x21fcbe270d093b9af2e0fd59d1196d08252fc61a,4bb3a36cf66272b28e8b2565302a49e274d0c2845ad91f91ece0a3c29e148256
3886603.0,2017-06-17 08:48:18.000 UTC,0x6d7147e994f02abd2c758ffde009797fe303369eb0090e09fd2ad68432afe917,4F04C19A1417924CD9D3AAB5D58F55974E5F435352F294D625CCB2B4DEABD6FF,0x9d900fc0c0d201bef6ef1608933669298ee46c79,4f04c19a1417924cd9d3aab5d58f55974e5f435352f294d625ccb2b4deabd6ff
3901163.0,2017-06-20 02:31:55.000 UTC,0xafaf73cba0861ffdf7c327e3837aab76e3e83e36676f436ad661107c4cc18264,2981DB075D0B94CF0136D4952E657043C71611E55C69046F0B22F314E0B5915A,0x96b20f67309a0750b3fc3dcbe989f347167482ff,2981db075d0b94cf0136d4952e657043c71611e55c69046f0b22f314e0b5915a
3915525.0,2017-06-23 00:35:27.000 UTC,0xa7ae38d5697aef73e25d75972fcd655f43ebd9ac0919fef435aa2d29725fb83b,7C2B5765DCAA4C2611CB90192E1947DE01597C7396440470A3E1F2C632E11671,0x740710a34eb775351a97f5287c2a5dffdb08fa4d,7c2b5765dcaa4c2611cb90192e1947de01597c7396440470a3e1f2c632e11671
3916966.0,2017-06-23 07:47:43.000 UTC,0x690ef2ba98db79b2983547ec804792def30a2f1f0c720a53a0be7ccbf8db61d9,322243EDE43413F145E04687AD9F0F3B6991BC47BDF8D17F2ED831AB6E2F339A,0xbb98fb2072ee66d219a3e2fe427e2b6f5f654935,322243ede43413f145e04687ad9f0f3b6991bc47bdf8d17f2ed831ab6e2f339a
